"","X","Day","State","ChinaVirusInterest","KungFluInterest","Region"
"133",133,"2020-03-04","AL",10,0,"South"
"134",134,"2020-03-05","AL",0,0,"South"
"135",135,"2020-03-06","AL",11,0,"South"
"136",136,"2020-03-07","AL",0,0,"South"
"137",137,"2020-03-08","AL",0,0,"South"
"138",138,"2020-03-09","AL",21,0,"South"
"139",139,"2020-03-10","AL",11,0,"South"
"140",140,"2020-03-11","AL",11,0,"South"
"141",141,"2020-03-12","AL",52,0,"South"
"142",142,"2020-03-13","AL",22,0,"South"
"143",143,"2020-03-14","AL",0,0,"South"
"144",144,"2020-03-15","AL",26,13,"South"
"145",145,"2020-03-16","AL",43,0,"South"
"146",146,"2020-03-17","AL",11,0,"South"
"147",147,"2020-03-18","AL",11,0,"South"
"148",148,"2020-03-19","AL",10,0,"South"
"149",149,"2020-03-20","AL",31,21,"South"
"150",150,"2020-03-21","AL",0,0,"South"
"151",151,"2020-03-22","AL",13,0,"South"
"152",152,"2020-03-23","AL",32,11,"South"
"153",153,"2020-03-24","AL",57,0,"South"
"154",154,"2020-03-25","AL",35,12,"South"
"155",155,"2020-03-26","AL",60,0,"South"
"156",156,"2020-03-27","AL",22,0,"South"
"157",157,"2020-03-28","AL",36,0,"South"
"158",158,"2020-03-29","AL",39,0,"South"
"159",159,"2020-03-30","AL",21,0,"South"
"160",160,"2020-03-31","AL",10,0,"South"
"161",161,"2020-04-01","AL",42,0,"South"
"162",162,"2020-04-02","AL",11,0,"South"
"163",163,"2020-04-03","AL",21,0,"South"
"164",164,"2020-04-04","AL",12,0,"South"
"165",165,"2020-04-05","AL",12,0,"South"
"166",166,"2020-04-06","AL",0,0,"South"
"167",167,"2020-04-07","AL",10,0,"South"
"168",168,"2020-04-08","AL",10,0,"South"
"169",169,"2020-04-09","AL",11,0,"South"
"170",170,"2020-04-10","AL",0,0,"South"
"171",171,"2020-04-11","AL",12,0,"South"
"172",172,"2020-04-12","AL",0,0,"South"
"173",173,"2020-04-13","AL",21,0,"South"
"174",174,"2020-04-14","AL",10,0,"South"
"175",175,"2020-04-15","AL",0,0,"South"
"176",176,"2020-04-16","AL",0,0,"South"
"177",177,"2020-04-17","AL",0,0,"South"
"178",178,"2020-04-18","AL",0,0,"South"
"179",179,"2020-01-21","AR",33,0,"South"
"180",180,"2020-01-22","AR",36,0,"South"
"181",181,"2020-01-23","AR",60,0,"South"
"182",182,"2020-01-24","AR",86,0,"South"
"183",183,"2020-01-25","AR",100,0,"South"
"184",184,"2020-01-26","AR",81,0,"South"
"185",185,"2020-01-27","AR",88,4,"South"
"186",186,"2020-01-28","AR",48,0,"South"
"187",187,"2020-01-29","AR",40,5,"South"
"188",188,"2020-01-30","AR",32,0,"South"
"189",189,"2020-01-31","AR",32,0,"South"
"190",190,"2020-02-01","AR",19,5,"South"
"191",191,"2020-02-02","AR",13,0,"South"
"192",192,"2020-02-03","AR",17,0,"South"
"193",193,"2020-02-04","AR",16,0,"South"
"194",194,"2020-02-05","AR",17,0,"South"
"195",195,"2020-02-06","AR",14,0,"South"
"196",196,"2020-02-07","AR",19,0,"South"
"197",197,"2020-02-08","AR",11,5,"South"
"198",198,"2020-02-09","AR",8,0,"South"
"199",199,"2020-02-10","AR",13,0,"South"
"200",200,"2020-02-11","AR",20,0,"South"
"201",201,"2020-02-12","AR",19,0,"South"
"202",202,"2020-02-13","AR",10,5,"South"
"203",203,"2020-02-14","AR",17,0,"South"
"204",204,"2020-02-15","AR",17,0,"South"
"205",205,"2020-02-16","AR",8,0,"South"
"206",206,"2020-02-17","AR",10,0,"South"
"207",207,"2020-02-18","AR",18,0,"South"
"208",208,"2020-02-19","AR",11,0,"South"
"209",209,"2020-02-20","AR",16,0,"South"
"210",210,"2020-02-21","AR",5,0,"South"
"211",211,"2020-02-22","AR",7,0,"South"
"212",212,"2020-02-23","AR",20,0,"South"
"213",213,"2020-02-24","AR",14,0,"South"
"214",214,"2020-02-25","AR",16,0,"South"
"215",215,"2020-02-26","AR",18,0,"South"
"216",216,"2020-02-27","AR",9,0,"South"
"217",217,"2020-02-28","AR",11,0,"South"
"218",218,"2020-02-29","AR",21,5,"South"
"219",219,"2020-03-01","AR",15,0,"South"
"220",220,"2020-03-02","AR",15,0,"South"
"221",221,"2020-03-03","AR",11,0,"South"
"222",222,"2020-03-04","AR",27,0,"South"
"223",223,"2020-03-05","AR",7,0,"South"
"224",224,"2020-03-06","AR",23,0,"South"
"225",225,"2020-03-07","AR",13,0,"South"
"226",226,"2020-03-08","AR",18,0,"South"
"227",227,"2020-03-09","AR",18,5,"South"
"228",228,"2020-03-10","AR",11,0,"South"
"229",229,"2020-03-11","AR",23,0,"South"
"230",230,"2020-03-12","AR",56,0,"South"
"231",231,"2020-03-13","AR",45,0,"South"
"232",232,"2020-03-14","AR",29,0,"South"
"233",233,"2020-03-15","AR",47,5,"South"
"234",234,"2020-03-16","AR",36,0,"South"
"235",235,"2020-03-17","AR",40,4,"South"
"236",236,"2020-03-18","AR",50,17,"South"
"237",237,"2020-03-19","AR",54,4,"South"
"238",238,"2020-03-20","AR",48,9,"South"
"239",239,"2020-03-21","AR",62,5,"South"
"240",240,"2020-03-22","AR",12,5,"South"
"241",241,"2020-03-23","AR",36,0,"South"
"242",242,"2020-03-24","AR",40,4,"South"
"243",243,"2020-03-25","AR",42,4,"South"
"244",244,"2020-03-26","AR",35,0,"South"
"245",245,"2020-03-27","AR",34,6,"South"
"246",246,"2020-03-28","AR",29,0,"South"
"247",247,"2020-03-29","AR",46,5,"South"
"248",248,"2020-03-30","AR",31,0,"South"
"249",249,"2020-03-31","AR",21,4,"South"
"250",250,"2020-04-01","AR",19,4,"South"
"251",251,"2020-04-02","AR",25,0,"South"
"252",252,"2020-04-03","AR",13,0,"South"
"253",253,"2020-04-04","AR",21,5,"South"
"254",254,"2020-04-05","AR",10,5,"South"
"255",255,"2020-04-06","AR",4,0,"South"
"256",256,"2020-04-07","AR",17,0,"South"
"257",257,"2020-04-08","AR",11,0,"South"
"258",258,"2020-04-09","AR",11,0,"South"
"259",259,"2020-04-10","AR",9,0,"South"
"260",260,"2020-04-11","AR",10,0,"South"
"261",261,"2020-04-12","AR",15,5,"South"
"262",262,"2020-04-13","AR",17,0,"South"
"263",263,"2020-04-14","AR",8,0,"South"
"264",264,"2020-04-15","AR",8,0,"South"
"265",265,"2020-04-16","AR",10,0,"South"
"266",266,"2020-04-17","AR",10,0,"South"
"267",267,"2020-04-18","AR",7,0,"South"
"268",268,"2020-01-21","AZ",92,0,"Mountain"
"269",269,"2020-01-22","AZ",92,0,"Mountain"
"270",270,"2020-01-23","AZ",58,0,"Mountain"
"271",271,"2020-01-24","AZ",59,0,"Mountain"
"272",272,"2020-01-25","AZ",85,0,"Mountain"
"273",273,"2020-01-26","AZ",78,0,"Mountain"
"274",274,"2020-01-27","AZ",25,12,"Mountain"
"275",275,"2020-01-28","AZ",33,0,"Mountain"
"276",276,"2020-01-29","AZ",58,10,"Mountain"
"277",277,"2020-01-30","AZ",47,0,"Mountain"
"278",278,"2020-01-31","AZ",31,0,"Mountain"
"279",279,"2020-02-01","AZ",34,11,"Mountain"
"280",280,"2020-02-02","AZ",23,0,"Mountain"
"281",281,"2020-02-03","AZ",32,0,"Mountain"
"282",282,"2020-02-04","AZ",45,0,"Mountain"
"283",283,"2020-02-05","AZ",19,10,"Mountain"
"284",284,"2020-02-06","AZ",0,0,"Mountain"
"285",285,"2020-02-07","AZ",30,0,"Mountain"
"286",286,"2020-02-08","AZ",29,0,"Mountain"
"287",287,"2020-02-09","AZ",0,0,"Mountain"
"288",288,"2020-02-10","AZ",39,10,"Mountain"
"289",289,"2020-02-11","AZ",44,0,"Mountain"
"290",290,"2020-02-12","AZ",30,0,"Mountain"
"291",291,"2020-02-13","AZ",20,0,"Mountain"
"292",292,"2020-02-14","AZ",10,0,"Mountain"
"293",293,"2020-02-15","AZ",23,0,"Mountain"
"294",294,"2020-02-16","AZ",12,0,"Mountain"
"295",295,"2020-02-17","AZ",15,0,"Mountain"
"296",296,"2020-02-18","AZ",11,0,"Mountain"
"297",297,"2020-02-19","AZ",18,0,"Mountain"
"298",298,"2020-02-20","AZ",12,0,"Mountain"
"299",299,"2020-02-21","AZ",13,0,"Mountain"
"300",300,"2020-02-22","AZ",15,0,"Mountain"
"301",301,"2020-02-23","AZ",15,0,"Mountain"
"302",302,"2020-02-24","AZ",24,0,"Mountain"
"303",303,"2020-02-25","AZ",0,0,"Mountain"
"304",304,"2020-02-26","AZ",24,0,"Mountain"
"305",305,"2020-02-27","AZ",37,0,"Mountain"
"306",306,"2020-02-28","AZ",26,0,"Mountain"
"307",307,"2020-02-29","AZ",59,0,"Mountain"
"308",308,"2020-03-01","AZ",15,0,"Mountain"
"309",309,"2020-03-02","AZ",12,0,"Mountain"
"310",310,"2020-03-03","AZ",17,0,"Mountain"
"311",311,"2020-03-04","AZ",46,0,"Mountain"
