"","Day","State","ChinaVirusInterest","KungFluInterest"
"177",2020-04-17,"AL",0,0
"178",2020-04-18,"AL",0,0
"179",2020-01-21,"AR",33,0
"180",2020-01-22,"AR",36,0
"181",2020-01-23,"AR",60,0
"182",2020-01-24,"AR",86,0
"183",2020-01-25,"AR",100,0
"184",2020-01-26,"AR",81,0
"185",2020-01-27,"AR",88,4
"186",2020-01-28,"AR",48,0
"187",2020-01-29,"AR",40,5
"188",2020-01-30,"AR",32,0
"189",2020-01-31,"AR",32,0
"190",2020-02-01,"AR",19,5
"191",2020-02-02,"AR",13,0
"192",2020-02-03,"AR",17,0
"193",2020-02-04,"AR",16,0
"194",2020-02-05,"AR",17,0
"195",2020-02-06,"AR",14,0
"196",2020-02-07,"AR",19,0
"197",2020-02-08,"AR",11,5
"198",2020-02-09,"AR",8,0
"199",2020-02-10,"AR",13,0
"200",2020-02-11,"AR",20,0
"201",2020-02-12,"AR",19,0
"202",2020-02-13,"AR",10,5
"203",2020-02-14,"AR",17,0
"204",2020-02-15,"AR",17,0
"205",2020-02-16,"AR",8,0
"206",2020-02-17,"AR",10,0
"207",2020-02-18,"AR",18,0
"208",2020-02-19,"AR",11,0
"209",2020-02-20,"AR",16,0
"210",2020-02-21,"AR",5,0
"211",2020-02-22,"AR",7,0
"212",2020-02-23,"AR",20,0
"213",2020-02-24,"AR",14,0
"214",2020-02-25,"AR",16,0
"215",2020-02-26,"AR",18,0
"216",2020-02-27,"AR",9,0
"217",2020-02-28,"AR",11,0
"218",2020-02-29,"AR",21,5
"219",2020-03-01,"AR",15,0
"220",2020-03-02,"AR",15,0
"221",2020-03-03,"AR",11,0
"222",2020-03-04,"AR",27,0
"223",2020-03-05,"AR",7,0
"224",2020-03-06,"AR",23,0
"225",2020-03-07,"AR",13,0
"226",2020-03-08,"AR",18,0
"227",2020-03-09,"AR",18,5
"228",2020-03-10,"AR",11,0
"229",2020-03-11,"AR",23,0
"230",2020-03-12,"AR",56,0
"231",2020-03-13,"AR",45,0
"232",2020-03-14,"AR",29,0
"233",2020-03-15,"AR",47,5
"234",2020-03-16,"AR",36,0
"235",2020-03-17,"AR",40,4
"236",2020-03-18,"AR",50,17
"237",2020-03-19,"AR",54,4
"238",2020-03-20,"AR",48,9
"239",2020-03-21,"AR",62,5
"240",2020-03-22,"AR",12,5
"241",2020-03-23,"AR",36,0
"242",2020-03-24,"AR",40,4
"243",2020-03-25,"AR",42,4
"244",2020-03-26,"AR",35,0
"245",2020-03-27,"AR",34,6
"246",2020-03-28,"AR",29,0
"247",2020-03-29,"AR",46,5
"248",2020-03-30,"AR",31,0
"249",2020-03-31,"AR",21,4
"250",2020-04-01,"AR",19,4
"251",2020-04-02,"AR",25,0
"252",2020-04-03,"AR",13,0
"253",2020-04-04,"AR",21,5
"254",2020-04-05,"AR",10,5
"255",2020-04-06,"AR",4,0
"256",2020-04-07,"AR",17,0
"257",2020-04-08,"AR",11,0
"258",2020-04-09,"AR",11,0
"259",2020-04-10,"AR",9,0
"260",2020-04-11,"AR",10,0
"261",2020-04-12,"AR",15,5
"262",2020-04-13,"AR",17,0
"263",2020-04-14,"AR",8,0
"264",2020-04-15,"AR",8,0
"265",2020-04-16,"AR",10,0
"266",2020-04-17,"AR",10,0
"267",2020-04-18,"AR",7,0
"268",2020-01-21,"AZ",92,0
"269",2020-01-22,"AZ",92,0
"270",2020-01-23,"AZ",58,0
"271",2020-01-24,"AZ",59,0
"272",2020-01-25,"AZ",85,0
"273",2020-01-26,"AZ",78,0
"274",2020-01-27,"AZ",25,12
"275",2020-01-28,"AZ",33,0
"276",2020-01-29,"AZ",58,10
"277",2020-01-30,"AZ",47,0
"278",2020-01-31,"AZ",31,0
"279",2020-02-01,"AZ",34,11
"280",2020-02-02,"AZ",23,0
"281",2020-02-03,"AZ",32,0
"282",2020-02-04,"AZ",45,0
"283",2020-02-05,"AZ",19,10
"284",2020-02-06,"AZ",0,0
"285",2020-02-07,"AZ",30,0
