date,state,positive,negative,death,hospitalized,totalTestResults,FIPS
3/22/2020,MA,646,5459,5,71,6105,25
3/22/2020,MD,244,94,3,,338,24
3/22/2020,ME,89,2264,,,2353,23
3/22/2020,MI,5098,3712,8,,8810,26
3/22/2020,MN,169,4511,1,12,4680,27
3/22/2020,MO,90,369,3,,459,29
3/22/2020,MP,0,,0,,0,69
3/22/2020,MS,207,1114,1,33,1321,28
3/22/2020,MT,31,1146,,,1177,30
3/22/2020,NC,255,6183,0,,6438,37
3/22/2020,ND,28,1260,0,3,1288,38
3/22/2020,NE,48,356,0,,404,31
3/22/2020,NH,65,1188,,,1253,33
3/22/2020,NJ,1914,327,20,,2241,34
3/22/2020,NM,57,4722,,,4779,35
3/22/2020,NV,190,2448,2,,2638,32
3/22/2020,NY,15168,46233,114,1974,61401,36
3/22/2020,OH,351,140,3,83,491,39
3/22/2020,OK,67,669,2,11,736,40
3/22/2020,OR,161,2864,4,43,3025,41
3/22/2020,PA,479,4964,2,,5443,42
3/22/2020,PR,23,183,,,206,72
3/22/2020,RI,83,932,,,1015,44
3/22/2020,SC,195,1466,3,,1661,45
3/22/2020,SD,21,740,1,,761,46
3/22/2020,TN,505,3272,,,3777,47
3/22/2020,TX,334,8422,5,,8756,48
3/22/2020,UT,181,3508,1,,3689,49
3/22/2020,VA,219,3118,3,32,3337,51
3/22/2020,VI,6,,,,6,78
3/22/2020,VT,52,1106,2,,1158,50
3/22/2020,WA,2242,25328,122,,27570,53
3/22/2020,WI,385,6230,4,,6615,55
3/22/2020,WV,12,385,0,1,397,54
3/22/2020,WY,24,438,,,462,56
3/23/2020,AK,22,946,,0,968,2
3/23/2020,AL,167,1665,0,,1832,1
3/23/2020,AR,174,906,0,,1080,5
3/23/2020,AS,,,0,,0,60
3/23/2020,AZ,265,309,2,,574,4
3/23/2020,CA,1733,12567,27,,14300,6
3/23/2020,CO,591,4845,6,58,5436,8
3/23/2020,CT,415,4085,10,,4500,9
3/23/2020,DC,116,1113,2,,1229,11
3/23/2020,DE,68,36,0,,104,10
3/23/2020,FL,1171,11063,14,217,12234,12
3/23/2020,GA,772,4297,25,,5069,13
3/23/2020,GU,29,161,1,,190,66
3/23/2020,HI,56,2955,,,3011,15
3/23/2020,IA,105,2043,,,2148,19
3/23/2020,ID,47,1309,0,,1356,16
3/23/2020,IL,1273,8583,12,,9856,17
3/23/2020,IN,259,1701,7,1,1960,18
3/23/2020,KS,82,417,2,,499,20
3/23/2020,KY,104,1762,3,,1866,21
3/23/2020,LA,1172,4776,34,,5948,22
3/23/2020,MA,777,8145,9,79,8922,25
3/23/2020,MD,288,94,3,,382,24
3/23/2020,ME,107,2791,,,2898,23
3/23/2020,MI,5789,4697,15,,10486,26
3/23/2020,MN,235,4511,1,17,4746,27
3/23/2020,MO,183,369,3,,552,29
3/23/2020,MP,0,,0,,0,69
3/23/2020,MS,249,1143,1,33,1392,28
3/23/2020,MT,34,1146,,,1180,30
3/23/2020,NC,297,8141,0,,8438,37
3/23/2020,ND,30,1353,0,4,1383,38
3/23/2020,NE,50,356,0,,406,31
3/23/2020,NH,78,1374,,,1452,33
3/23/2020,NJ,2844,359,27,,3203,34
3/23/2020,NM,65,5321,,,5386,35
3/23/2020,NV,245,3490,4,,3735,32
3/23/2020,NY,20875,57414,114,2635,78289,36
3/23/2020,OH,442,140,6,104,582,39
3/23/2020,OK,81,694,2,15,775,40
3/23/2020,OR,191,3649,5,56,3840,41
3/23/2020,PA,644,6595,6,,7239,42
3/23/2020,PR,31,189,2,,220,72
3/23/2020,RI,106,1143,,,1249,44
3/23/2020,SC,298,1466,5,,1764,45
3/23/2020,SD,28,762,1,,790,46
3/23/2020,TN,615,3272,2,,3887,47
3/23/2020,TX,352,9703,8,,10055,48
3/23/2020,UT,257,4790,1,,5047,49
3/23/2020,VA,254,3443,6,38,3697,51
3/23/2020,VI,17,,,,17,78
3/23/2020,VT,75,1106,5,,1181,50
3/23/2020,WA,2450,28879,133,,31329,53
3/23/2020,WI,416,7050,5,,7466,55
3/23/2020,WV,16,444,0,1,460,54
3/23/2020,WY,26,592,,,618,56
3/24/2020,AK,36,986,,0,1022,2
3/24/2020,AL,215,2106,0,,2321,1
3/24/2020,AR,218,947,0,,1165,5
3/24/2020,AS,,,0,,0,60
3/24/2020,AZ,357,313,5,,670,4
3/24/2020,CA,2102,13452,40,,15554,6
3/24/2020,CO,720,5504,7,72,6224,8
3/24/2020,CT,618,4682,12,,5300,9
3/24/2020,DC,137,1195,2,,1332,11
3/24/2020,DE,91,36,0,,127,10
3/24/2020,FL,1412,13127,18,259,14539,12
3/24/2020,GA,1026,4458,32,,5484,13
3/24/2020,GU,32,201,1,,233,66
3/24/2020,HI,77,3589,,4,3666,15
3/24/2020,IA,124,2315,,27,2439,19
3/24/2020,ID,50,1887,0,,1937,16
3/24/2020,IL,1535,9934,16,,11469,17
3/24/2020,IN,365,2566,12,1,2931,18
3/24/2020,KS,98,2086,2,,2184,20
3/24/2020,KY,124,1762,4,,1886,21
3/24/2020,LA,1388,7215,46,,8603,22
3/24/2020,MA,1159,12590,11,94,13749,25
3/24/2020,MD,349,94,3,,443,24
3/24/2020,ME,125,3014,,,3139,23
3/24/2020,MI,6441,5796,24,,12237,26
3/24/2020,MN,262,5550,1,21,5812,27
3/24/2020,MO,183,369,3,,552,29
3/24/2020,MP,0,,0,,0,69
3/24/2020,MS,320,1552,1,86,1872,28
3/24/2020,MT,46,1643,,,1689,30
3/24/2020,NC,398,8141,0,,8539,37
3/24/2020,ND,34,1454,0,5,1488,38
3/24/2020,NE,52,975,0,,1027,31
3/24/2020,NH,101,1447,1,11,1548,33
3/24/2020,NJ,3675,8325,44,,12000,34
3/24/2020,NM,83,5890,,,5973,35
3/24/2020,NV,278,3954,4,,4232,32
3/24/2020,NY,25665,65605,210,3234,91270,36
3/24/2020,OH,564,140,8,145,704,39
3/24/2020,OK,106,735,3,25,841,40
3/24/2020,OR,209,4350,8,61,4559,41
3/24/2020,PA,851,8643,7,,9494,42
3/24/2020,PR,39,268,2,,307,72
3/24/2020,RI,124,1200,,,1324,44
3/24/2020,SC,298,2012,5,,2310,45
3/24/2020,SD,30,790,1,,820,46
3/24/2020,TN,667,10517,2,,11184,47
3/24/2020,TX,410,10757,9,,11167,48
3/24/2020,UT,299,5524,1,,5823,49
3/24/2020,VA,290,4180,7,45,4470,51
3/24/2020,VI,17,,,,17,78
3/24/2020,VT,95,1440,7,,1535,50
3/24/2020,WA,2823,31712,142,,34535,53
3/24/2020,WI,457,8237,5,,8694,55
3/24/2020,WV,20,610,0,1,630,54
3/24/2020,WY,29,710,,,739,56
