date,state,positive,negative,death,hospitalized,totalTestResults,FIPS
3/13/2020,CO,72,524,,,596,8
3/13/2020,CT,6,99,,,105,9
3/13/2020,DC,10,20,,,30,11
3/13/2020,DE,4,30,,,34,10
3/13/2020,FL,50,478,2,,528,12
3/13/2020,GA,42,,1,,42,13
3/13/2020,HI,2,,,,2,15
3/13/2020,IA,16,83,,,99,19
3/13/2020,ID,0,131,,,131,16
3/13/2020,IL,32,294,,,326,17
3/13/2020,IN,12,61,,,73,18
3/13/2020,KS,6,93,,,99,20
3/13/2020,KY,11,107,,,118,21
3/13/2020,LA,36,37,,,73,22
3/13/2020,MA,123,92,,,215,25
3/13/2020,MD,17,94,,,111,24
3/13/2020,ME,3,91,,,94,23
3/13/2020,MI,945,133,,,1078,26
3/13/2020,MN,14,541,,,555,27
3/13/2020,MO,2,71,,,73,29
3/13/2020,MS,4,41,,,45,28
3/13/2020,MT,1,55,,,56,30
3/13/2020,NC,15,86,,,101,37
3/13/2020,ND,1,39,0,,40,38
3/13/2020,NE,13,80,,,93,31
3/13/2020,NH,6,94,,,100,33
3/13/2020,NJ,50,97,1,,147,34
3/13/2020,NM,10,190,,,200,35
3/13/2020,NV,11,168,,,179,32
3/13/2020,NY,421,2779,,,3200,36
3/13/2020,OH,13,50,,,63,39
3/13/2020,OK,3,36,,,39,40
3/13/2020,OR,30,337,,,367,41
3/13/2020,PA,41,140,,,181,42
3/13/2020,RI,14,142,,,156,44
3/13/2020,SC,12,75,,,87,45
3/13/2020,SD,9,73,,,82,46
3/13/2020,TN,26,116,,,142,47
3/13/2020,TX,39,,,,39,48
3/13/2020,UT,6,131,,,137,49
3/13/2020,VA,30,117,,,147,51
3/13/2020,VT,2,142,,,144,50
3/13/2020,WA,693,4350,47,,5043,53
3/13/2020,WI,19,169,,,188,55
3/13/2020,WV,0,17,,,17,54
3/13/2020,WY,1,,,,1,56
3/14/2020,AK,1,143,,,144,2
3/14/2020,AL,6,22,,,28,1
3/14/2020,AR,12,65,,,77,5
3/14/2020,AZ,12,121,0,,133,4
3/14/2020,CA,252,916,5,,1168,6
3/14/2020,CO,101,610,1,,711,8
3/14/2020,CT,11,125,,,136,9
3/14/2020,DC,10,49,,,59,11
3/14/2020,DE,6,36,,,42,10
3/14/2020,FL,77,478,3,,555,12
3/14/2020,GA,66,,1,,66,13
3/14/2020,HI,2,,,,2,15
3/14/2020,IA,17,83,,,100,19
3/14/2020,ID,2,174,,,176,16
3/14/2020,IL,46,316,,,362,17
3/14/2020,IN,15,74,0,,89,18
3/14/2020,KS,6,93,1,,99,20
3/14/2020,KY,14,139,,,153,21
3/14/2020,LA,69,109,,,178,22
3/14/2020,MA,138,352,,,490,25
3/14/2020,MD,26,94,,,120,24
3/14/2020,ME,3,91,,,94,23
3/14/2020,MI,1196,205,,,1401,26
3/14/2020,MN,21,847,,,868,27
3/14/2020,MO,4,90,0,,94,29
3/14/2020,MS,6,84,,,90,28
3/14/2020,MT,5,103,,,108,30
3/14/2020,NC,23,137,,,160,37
3/14/2020,ND,1,54,0,,55,38
3/14/2020,NE,14,80,,,94,31
3/14/2020,NH,7,212,,,219,33
3/14/2020,NJ,50,97,1,,147,34
3/14/2020,NM,10,237,,,247,35
3/14/2020,NV,20,168,,,188,32
3/14/2020,NY,524,2779,,,3303,36
3/14/2020,OH,13,50,,,63,39
3/14/2020,OK,4,36,,,40,40
3/14/2020,OR,30,337,,,367,41
3/14/2020,PA,47,205,,,252,42
3/14/2020,RI,20,198,,,218,44
3/14/2020,SC,13,110,,,123,45
3/14/2020,SD,9,182,,,191,46
3/14/2020,TN,32,130,,,162,47
3/14/2020,TX,51,,,,51,48
3/14/2020,UT,6,131,,,137,49
3/14/2020,VA,30,117,,,147,51
3/14/2020,VT,4,227,,,231,50
3/14/2020,WA,793,6001,51,,6794,53
3/14/2020,WI,19,169,,,188,55
3/14/2020,WV,0,26,,,26,54
3/14/2020,WY,2,,,,2,56
3/15/2020,AK,1,143,,,144,2
3/15/2020,AL,12,28,0,,40,1
3/15/2020,AR,16,103,,,119,5
3/15/2020,AZ,12,121,0,,133,4
3/15/2020,CA,293,916,5,,1209,6
3/15/2020,CO,131,627,1,,758,8
3/15/2020,CT,20,125,,,145,9
3/15/2020,DC,16,79,,,95,11
3/15/2020,DE,6,36,,,42,10
3/15/2020,FL,116,678,4,,794,12
3/15/2020,GA,99,,1,,99,13
3/15/2020,HI,2,,,,2,15
3/15/2020,IA,18,83,,,101,19
3/15/2020,ID,5,174,,,179,16
3/15/2020,IL,64,449,,,513,17
3/15/2020,IN,19,102,0,,121,18
3/15/2020,KS,8,135,1,,143,20
3/15/2020,KY,16,139,,,155,21
3/15/2020,LA,91,156,2,,247,22
3/15/2020,MA,138,352,,,490,25
3/15/2020,MD,31,94,,,125,24
3/15/2020,ME,3,91,,,94,23
3/15/2020,MI,1480,205,,,1685,26
3/15/2020,MN,35,1387,,,1422,27
3/15/2020,MO,5,122,0,,127,29
3/15/2020,MS,10,84,,,94,28
3/15/2020,MT,7,103,,,110,30
3/15/2020,NC,32,227,,,259,37
3/15/2020,ND,1,95,0,,96,38
3/15/2020,NE,17,80,,,97,31
3/15/2020,NH,13,271,,,284,33
3/15/2020,NJ,98,120,2,,218,34
3/15/2020,NM,13,482,,,495,35
3/15/2020,NV,21,168,,,189,32
3/15/2020,NY,729,4543,3,,5272,36
3/15/2020,OH,36,139,,,175,39
3/15/2020,OK,9,118,,,127,40
3/15/2020,OR,36,420,,,456,41
3/15/2020,PA,63,205,,,268,42
3/15/2020,RI,20,271,,,291,44
3/15/2020,SC,19,154,,,173,45
3/15/2020,SD,9,327,,,336,46
3/15/2020,TN,39,157,,,196,47
3/15/2020,TX,56,,,,56,48
3/15/2020,UT,28,131,0,,159,49
3/15/2020,VA,45,363,1,,408,51
3/15/2020,VT,4,348,,,352,50
3/15/2020,WA,924,7122,56,,8046,53
3/15/2020,WI,33,313,,,346,55
3/15/2020,WV,0,38,0,,38,54
3/15/2020,WY,3,,,,3,56
3/16/2020,AK,1,143,,,144,2
3/16/2020,AL,28,28,0,,56,1
3/16/2020,AR,22,132,,,154,5
3/16/2020,AS,,,,,,60
3/16/2020,AZ,18,125,0,,143,4
3/16/2020,CA,335,7981,6,,8316,6
3/16/2020,CO,131,627,1,,758,8
3/16/2020,CT,26,125,,,151,9
3/16/2020,DC,17,96,,,113,11
3/16/2020,DE,8,36,,,44,10
3/16/2020,FL,141,684,4,,825,12
3/16/2020,GA,121,,1,,121,13
3/16/2020,GU,3,23,,,26,66
3/16/2020,HI,7,,,,7,15
3/16/2020,IA,22,83,,,105,19
